n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	DP(kCBP)	DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10	262.40 	0.40 	0.00 	0	0	6869.80 	0.10 	2
5	20	450.00 	0.60 	0.00 	1	1	11450.80 	0.60 	3
22	30	1763.60 	3.80 	1.80 	9	7	50473.80 	1.80 	25
29	40	2325.60 	3.60 	1.40 	9	9	66524.40 	2.00 	17
32	50	2574.60 	4.00 	1.20 	15	12	73285.80 	2.50 	26
52	60	4101.40 	7.20 	4.20 	26	22	118821.20 	3.80 	52
57	70	4526.40 	9.40 	5.40 	27	22	130430.20 	4.20 	63
71	80	5606.60 	11.80 	6.80 	33	29	163189.20 	5.40 	83
77	90	6077.20 	11.80 	7.40 	51	38	177140.40 	8.10 	102
